,tp,tn,fp,fn,precision,recall,specificity,accuracy,f1_score,balanced_accuracy,num_feat_missing,imputed,dataset,source,scenario,random_state,metric
0,44,98,42,16,51.16,73.33,70.0,71.0,60.27,71.67,0,,lr_perf,German Credit,Scenario 1: standard,1981,f1 score
1,49,75,65,11,42.98,81.67,53.57,62.0,56.32,67.62,1,"['Status_of_existing_checking_account_greater or equal to 200 DM or salary assignments', 'Status_of_existing_checking_account_less than 0 DM', 'Status_of_existing_checking_account_no checking account'] imputed",lr_perf,German Credit,Scenario 1: standard,1981,f1 score
2,50,66,74,10,40.32,83.33,47.14,58.0,54.35,65.24,2,"['Status_of_existing_checking_account_greater or equal to 200 DM or salary assignments', 'Status_of_existing_checking_account_less than 0 DM', 'Status_of_existing_checking_account_no checking account', 'Credit_history_critical account or other credits existing', 'Credit_history_delay in paying off in the past', 'Credit_history_existing credits paid back duly till now', 'Credit_history_no credits taken or all credits paid back duly'] imputed",lr_perf,German Credit,Scenario 1: standard,1981,f1 score
3,49,70,70,11,41.18,81.67,50.0,59.5,54.75,65.83,3,"['Status_of_existing_checking_account_greater or equal to 200 DM or salary assignments', 'Status_of_existing_checking_account_less than 0 DM', 'Status_of_existing_checking_account_no checking account', 'Credit_history_critical account or other credits existing', 'Credit_history_delay in paying off in the past', 'Credit_history_existing credits paid back duly till now', 'Credit_history_no credits taken or all credits paid back duly', 'Credit_amount'] imputed",lr_perf,German Credit,Scenario 1: standard,1981,f1 score
4,45,81,59,15,43.27,75.0,57.86,63.0,54.88,66.43,4,"['Status_of_existing_checking_account_greater or equal to 200 DM or salary assignments', 'Status_of_existing_checking_account_less than 0 DM', 'Status_of_existing_checking_account_no checking account', 'Credit_history_critical account or other credits existing', 'Credit_history_delay in paying off in the past', 'Credit_history_existing credits paid back duly till now', 'Credit_history_no credits taken or all credits paid back duly', 'Credit_amount', 'Other_installment_plans_none', 'Other_installment_plans_stores'] imputed",lr_perf,German Credit,Scenario 1: standard,1981,f1 score
5,44,81,59,16,42.72,73.33,57.86,62.5,53.99,65.6,5,"['Status_of_existing_checking_account_greater or equal to 200 DM or salary assignments', 'Status_of_existing_checking_account_less than 0 DM', 'Status_of_existing_checking_account_no checking account', 'Credit_history_critical account or other credits existing', 'Credit_history_delay in paying off in the past', 'Credit_history_existing credits paid back duly till now', 'Credit_history_no credits taken or all credits paid back duly', 'Credit_amount', 'Other_installment_plans_none', 'Other_installment_plans_stores', 'Age'] imputed",lr_perf,German Credit,Scenario 1: standard,1981,f1 score
6,45,80,60,15,42.86,75.0,57.14,62.5,54.55,66.07,6,"['Status_of_existing_checking_account_greater or equal to 200 DM or salary assignments', 'Status_of_existing_checking_account_less than 0 DM', 'Status_of_existing_checking_account_no checking account', 'Credit_history_critical account or other credits existing', 'Credit_history_delay in paying off in the past', 'Credit_history_existing credits paid back duly till now', 'Credit_history_no credits taken or all credits paid back duly', 'Credit_amount', 'Other_installment_plans_none', 'Other_installment_plans_stores', 'Age', 'Installment_rate_in_percentage_of_disposable_income'] imputed",lr_perf,German Credit,Scenario 1: standard,1981,f1 score
7,46,80,60,14,43.4,76.67,57.14,63.0,55.42,66.9,7,"['Status_of_existing_checking_account_greater or equal to 200 DM or salary assignments', 'Status_of_existing_checking_account_less than 0 DM', 'Status_of_existing_checking_account_no checking account', 'Credit_history_critical account or other credits existing', 'Credit_history_delay in paying off in the past', 'Credit_history_existing credits paid back duly till now', 'Credit_history_no credits taken or all credits paid back duly', 'Credit_amount', 'Other_installment_plans_none', 'Other_installment_plans_stores', 'Age', 'Installment_rate_in_percentage_of_disposable_income', 'Other_debtors_guarantors_guarantor', 'Other_debtors_guarantors_none'] imputed",lr_perf,German Credit,Scenario 1: standard,1981,f1 score
8,49,59,81,11,37.69,81.67,42.14,54.0,51.58,61.9,8,"['Status_of_existing_checking_account_greater or equal to 200 DM or salary assignments', 'Status_of_existing_checking_account_less than 0 DM', 'Status_of_existing_checking_account_no checking account', 'Credit_history_critical account or other credits existing', 'Credit_history_delay in paying off in the past', 'Credit_history_existing credits paid back duly till now', 'Credit_history_no credits taken or all credits paid back duly', 'Credit_amount', 'Other_installment_plans_none', 'Other_installment_plans_stores', 'Age', 'Installment_rate_in_percentage_of_disposable_income', 'Other_debtors_guarantors_guarantor', 'Other_debtors_guarantors_none', 'Savings_account_bonds_from 500 to 1000 DM', 'Savings_account_bonds_greater or equal to 1000 DM', 'Savings_account_bonds_less than 100 DM', 'Savings_account_bonds_unknown/no savings account'] imputed",lr_perf,German Credit,Scenario 1: standard,1981,f1 score
9,51,55,85,9,37.5,85.0,39.29,53.0,52.04,62.14,9,"['Status_of_existing_checking_account_greater or equal to 200 DM or salary assignments', 'Status_of_existing_checking_account_less than 0 DM', 'Status_of_existing_checking_account_no checking account', 'Credit_history_critical account or other credits existing', 'Credit_history_delay in paying off in the past', 'Credit_history_existing credits paid back duly till now', 'Credit_history_no credits taken or all credits paid back duly', 'Credit_amount', 'Other_installment_plans_none', 'Other_installment_plans_stores', 'Age', 'Installment_rate_in_percentage_of_disposable_income', 'Other_debtors_guarantors_guarantor', 'Other_debtors_guarantors_none', 'Savings_account_bonds_from 500 to 1000 DM', 'Savings_account_bonds_greater or equal to 1000 DM', 'Savings_account_bonds_less than 100 DM', 'Savings_account_bonds_unknown/no savings account', 'Foreign_worker_yes'] imputed",lr_perf,German Credit,Scenario 1: standard,1981,f1 score
